4,Agatha,Christie
5,Akira,Watanabe
6,Alan,Durband
7,Alan,Lee
8,Alan,Clarke
9,Alex,Ross
10,Alexandra,Boiger
11,Alfred,Birnbaum
12,Amy,Sedaris
13,Ana,Alcaina
14,Andrew,Gross
15,Andrew,Gurr
16,Andrew,Hurley
17,Anjali,Singh
18,Ann,Charters
20,Anne,Rice
21,Anthea,Bell
22,Anthony,Burgess
24,Avi,
25,Barbara,Bray
26,Barbara,Wright
27,Barrett,Whitener
28,Beau,Bridges
29,Benjamin,Jowett
30,Bernie,Wrightson
31,Betsy,Lewin
32,Bill,Brown
33,Bill,Robertie
34,Blake,Nevius
35,Brendan,Frayne
36,Brian,Ajhar
37,Brian,Boyd
38,Bruce,Degen
39,C.D.C.,Reeve
40,C.F.,Smith
41,C.J.,Critt
42,C.J.,Rowe
43,ç¥žå°¾è‘‰å­,
44,Campbell,Scott
45,Cecil,Day-Lewis
46,Cedric,Watts
47,Charles,Dickens
48,Charles,Neider
49,Charlotte,Hughes
50,Charlton,Heston
52,Christopher,Hitchens
53,Christopher,Tolkien
54,Claudia,Conde
55,Clement,Hurd
56,CliffsNotes,
57,Constance,Garnett
58,Craig,Dirgo
59,Cyd,Moore
60,Daniel,Halpern
61,Danuta,Borchardt
62,Dave,Eggers
63,Dave,McKean
64,David,Barsamian
65,David,Coward
66,David,Dukes
67,David,Elliot
68,David,Ferry
69,David,Kovacs
70,David,Levithan
71,David,Magarshack
72,David,McDuff
73,David,Thompson
74,David,West
75,David,Wootton
76,Dean,Koontz
78,Denise,Brunkus
79,Diana,Bryan
81,Diane,Goode
82,Dick,Hill
83,Dirk,Cussler
85,Douglas,Smith
87,E.B.,White
88,E.D.A.,Morshead
89,E.L.,Doctorow
90,E.M.,Forster
91,Ebba,Segerberg
92,Edward,Ardizzone
93,Edward,Asner
94,Edward,Gorey
95,Elaine,Clayton
96,Elaine,Showalter
97,Erika,Tamar
98,Erroll,McDonald
99,Francis,Ledoux
101,Frank,Kermode
102,Frank,MacShane
103,Frank,Quitely
104,Frankie,Frankeny
106,G.E.M.,Anscombe
107,Garth,Williams
109,Gary,Smalley
110,Georgie,Ripper
112,Gillian,Avery
113,Giovanni,Pontiero
115,Glenn,McCoy
116,Glynne,Walley
117,Gore,Vidal
118,Gray,Jolliffe
119,Gretchen,Schields
120,Grover,Gardner
121,Gunther,Stuhlmann
122,Guy,Abadia
123,Guy,Francis
124,Harold,Bloom
125,Helen,Oxenbury
126,Hillel,Halkin
127,Hirohiko,Araki
128,Hotaru,Odagiri
130,Howard,Hibbett
131,Howard,Roughan
132,Hugh,Fraser
133,Ian,Beck
134,Ian,McKellen
135,Ignat,Avsey
136,Ilan,Stavans
137,Isobel,Murray
138,Ivan,Morris
139,J.R.R.,Tolkien
141,Jack,Trout
142,James,Anderson
143,James,Thomas
144,Jamie,Glover
145,Jamie,Suzanne
146,Javier,Calvo
147,Jay,Rubin
149,Jean-Paul,Orpinas
150,Jeffery,Deaver
151,Jeffrey,Henderson
