261,Marion Boyars Publishers Ltd
262,Barrons Educational Series
263,Challenge Press  Inc./Challcrest Press
264,Addison-Wesley Professional
265,Vintage/Ebury
266,List
267,Candlewick Press (MA)
268,Broadview Press Inc
269,Bantam Classics
270,Little Simon
271,Warner Books
272,Spectra Books
273,Dark Horse Books
274,Amistad
275,Poppy
276,Harlequin Blaze
277,Fawcett Crest
278,Schocken
279,Harcourt Brace
280,Berkley Books
281,HarperTrophy
282,Taylor Productions Ltd
283,University of North Carolina Press
284,Polychrome Publishing Corporation
285,Simon & Schuster Childrens Books
286,Reclam  Leipzig
287,Chosen Books
288,Atheneum Books for Young Readers
289,Apple
290,Alfaguara
291,Europa Editions
292,Wizards of the Coast
293,Scholastic
294,Greenwillow Books
295,Turtleback Books Distributed by Demco Media
296,Simon  Schuster/Paula Wiseman Books
297,Regnery Publishing
298,Little  Brown & Company (Boston/Toronto)
299,Salem Press Inc
300,Pearson
301,PerfectBound (HarperCollins)
302,Headline Review
303,Random House (NY)
304,Longman Publishing Group
305,Graywolf Press
306,Vintage/Random House (NY)
307,Belknap Press
308,Gale Cengage
309,Actes Sud
310,Starscape
311,Casa Creacion
312,Anchor Books/Knopf Doubleday Publishing Group
313,Laurel Leaf Books
314,The New York Review Children's Collection
315,Simon  Schuster
316,Rodale Books
317,Arlington House
318,Moody Publishers (Chicago)
319,Bradford Book
320,Love Spell
321,Penguin Books Ltd
322,Yearling Books
323,Harvest Books/Harcourt
324,Stonewall Inn Editions
325,St. Martin's Press
326,Vanguard Press
327,Museum of Modern Art
328,Penguin Press HC  The
329,FonoLibro
330,Grosset & Dunlap
331,Putnam
332,Brilliance Audio
333,MetroBooks (NY)
334,Ecco Press
335,DK
336,Live Oak Media
337,Harcourt
338,Jove
339,LÃ¼bbe
340,Wildside Press
341,Farrar  Straus and Giroux
342,Touchstone Books
343,Recorded Books  Inc.
344,Gramercy
345,Hard Press
346,Andrews McMeel Publishing
347,TusQuets
348,NAL
349,Harry N. Abrams
350,Columbia University Press
351,Tarcherperigee
352,HQN Books
353,Insel  Frankfurt
354,Sophia Institute Press
355,Doubleday Books
356,Random House Children's Books
357,Allen Lane
358,University of Pennsylvania Press
359,Bristol Classical Press
360,Tyndale House Publishers
361,Harcourt Brace Jovanovich
362,Library of America
363,Yale University Press
364,Beacon Press
365,Abrams
366,DEBOLS!LLO
367,Listening Library
368,Archaia
369,Lark Books
370,Orion Publishing Group
371,Kessinger Publishing
372,Simon Schuster
373,Avon Books (P)
374,MIT Press (Cambridge  MA)
375,Spectra
376,Prometheus Books
377,Marvel
378,Twayne Publishers
379,Wiley Publishing  Inc.
380,Benjamin Cummings
