262,RenÃ©e Graef
263,Reynolds Price
264,Richard Alpert
265,Richard Bachman
266,Richard Freeborn
267,Richard Howard
268,Richard Hull
269,Richard Miller
270,Richard Platt
271,Richard Poe
272,Richard S. Kennedy
273,Richmond Lattimore
274,Rick Moody
275,Roald Dahl
276,Rob Inglis
277,Robert Fitzgerald
278,Robert Hardy Baker
279,Robert Hurley
280,Robert Ludlum
281,Robert M. Adams
282,Robert Vavra
283,Robin Buss
284,Robin Waterfield
285,Roger Penrose
286,Roma Gill
287,Ron Barrett
288,Ron McLarty
289,Rosemary Edghill
290,Russ Roberts
291,S.D. Schindler
292,Sally Jenkins
293,Sandra Brown
294,Sarah Hines Stephens
295,Scott Brick
296,Scott McKowen
297,Simon Fraser
298,Simon Vance
299,Stanley Appelbaum
300,Stephen Hawking
301,Stephen J. Dubner
302,Stephen King
303,Stephen Lang
304,Stephen Sartarelli
305,Stephen Snyder
306,Steve McMillan
307,Steven Pressfield
308,Sverre Lyngstad
309,Takeshi Obata
310,Thomas Cleary
311,Thomas Pynchon
312,Tiina Nunnally
313,Todd McCaffrey
314,Tony Ross
315,Tracy Hickman
316,Travis Bogard
317,Trina Schart Hyman
318,Troy Howell
319,Van C. Gessel
320,Various
321,Vera Neville
322,Vicente Villacampa
323,Viggo Mortensen
324,Virginia Woolf
325,Vladimir Nabokov
326,W.H.D. Rouse
327,Walt Disney Company
328,Walter Hooper
329,Warren Chang
330,Wayne Alfano
331,Wayne G. Hammond
332,Wendell Minor
333,Willard R. Trask
334,William Flanagan
335,William H. Race
336,William Hootkins
337,William Irwin
338,William Scovil Anderson
339,William Weaver
340,Yoshitaka Amano
341,A.B. Yehoshua
342,A.S. Byatt 
343,Abraham Lincoln
344,Adam Drozdek 
345,Adam Hochschild 
346,Adam Swift 
347,Adrian McKinty 
348,Aeschylus
349,Agatha Christie
350,Agatha Christie 
351,Al Franken 
352,Al Ries
353,Alain de Botton 
354,Alan Dean Foster 
355,Alan Hollinghurst 
356,Alan Lightman 
357,Alan Paton 
358,Albert Camus
359,Albert Camus 
360,Albert Einstein
361,Alcoholics Anonymous 
362,Aldous Huxley
363,Aldous Huxley 
364,Alexander McCall Smith 
365,Alexander Payne
366,Alexander Pope
367,Alexander Pushkin
368,Alexandra Moss 
369,Alexandre Dumas
370,Alice Dalgliesh
371,Alice Hoffman 
372,Alice Medrich
373,Alice Medrich 
374,Alice Miller
375,Alice Munro
376,Alice Munro 
377,Alice Sebold 
378,Alice Walker 
379,Alison Weir 
380,Alister E. McGrath 
381,Allison Pearson 
382,Alma Flor Ada
383,Amartya Sen 
384,Amelia Atwater-Rhodes 
385,Amy Tan
386,Amy Tan 
387,AnaÃ¯s Nin
388,AnaÃ¯s Nin 
389,Andre Dubus 
390,Andrea Camilleri
391,Andrea Levy 
392,Andrew Hunt 
393,Andrew J. Offutt 
394,Andrew Solomon 
395,Andy Griffiths
396,Angela Knight 
397,Angus Wells 
398,Anita Desai 
399,Anita Diamant 
400,Anita Shreve 
401,Ann Beattie 
402,Ann Brashares 
403,Ann Packer 
404,Ann Patchett 
405,Ann Rinaldi 
406,Ann Rule 
407,Anna Maxted 
408,Anna Sewell
409,Anne Lamott 
410,Anne Mazer
411,Anne Mazer 
412,Anne McCaffrey
413,Anne McCaffrey 
414,Anne Rice
415,Anne Rice 
416,Anne Stuart 
417,Anne Tyler 
418,Annie Dillard 
419,Annie Proulx 
420,Ann-Marie MacDonald 
421,Anonymous
422,Ansel Adams
423,Anthony Bourdain 
424,Anthony Burgess 
425,Anthony E. Wolf 
426,Anthony Loyd 
427,Anthony Powell 
428,Anthony Thorlby 
429,Antoine de Saint-ExupÃ©ry 
430,Anton Chekhov
431,Antonia Fraser 
432,Antonio Negri
433,Antony Beevor 
434,Anya Seton
435,Apollodorus
436,Aristophanes
437,Aristotle
438,Armistead Maupin 
439,Art Spiegelman 
440,Arthur C. Clarke 
441,Arthur Conan Doyle
442,Arthur Conan Doyle 
443,Arthur Golden 
444,Arthur Koestler
445,Arthur Koestler 
446,Arthur Miller
447,Arthur Miller 
448,Astrid Lindgren
449,Audrey Niffenegger 
450,Augusten Burroughs 
451,Augustine of Hippo
